Nome_UF,count
Santa Catarina,1243
Mato Grosso do Sul,954
Goiás,998
Mato Grosso,926
Ceará,1015
Espírito Santo,853
Piauí,277
Paraná,1528
Alagoas,376
Bahia,1061
Roraima,276
Distrito Federal,582
Pernambuco,852
Amazonas,587
Rio Grande do Sul,1348
Acre,201
Rio Grande do Norte,469
Sergipe,265
São Paulo,1698
Rio de Janeiro,917
Minas Gerais,1479
Rondônia,518
Maranhão,495
Tocantins,567
Paraíba,535
Pará,681
Amapá,208
